Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan,AFG,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,27.2673911512668,31.3042698874727
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,20.5281416810455,20.407941949491
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa,ASM,63.5958395245171,61.6692426584235
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra,AND,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,29.7545979506807,40.7907550532833
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda,ATG,70.6912007913569,69.2086423595831
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina,ARG,10.7056520504538,17.9248783778462
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,29.7253912120334,41.3508013620849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba,ABW,72.8529128494511,73.2345915426225
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,20.0581264737037,24.1117883614814
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,53.0890605587958,55.7607848112938
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan,AZE,37.7947774917249,49.0506275016423
"Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,""Bahamas, The"",BHS,36.3376999460242,35.5641431446966"
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bahrain,BHR,82.9063889562962,76.485960757711
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bangladesh,BGD,17.3366737865485,13.0947573353039
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados,BRB,39.933206088244,41.7775316710853
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus,BLR,58.0102324546769,65.0944096428465
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,77.8052821516798,82.3971820616943
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belize,BLZ,51.5288427541256,51.8967694718585
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,24.7204512110389,29.6305271935478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bermuda,BMU,49.9708394613543,51.7434243981752
